input_color,output_color
#502F4C,#70587C
#C8B8DB,#F9F4F5
#785964,#454545
#F1FFFA,#D5C7BC
#93B7BE,#F1FFFA
#A1E44D,#60993E
#60993E,#613A3A
#7AFDD6,#77FF94
#17301C,#379392
#379392,#4FB0C6
#4F86C6,#744FC6
#F1FFFA,#CCFCCB
#CCFCCB,#96E6B3
#96E6B3,#568259
#568259,#464E47
#816E94,#74226C
#74226C,#4B2142
#97EAD2,#8CC7A1
#321325,#5F0F40
#CB793A,#FCDC4D
#9A031E,#CB793A
#CA054D,#3B1C32
#9D7667,#FFCF9C
#FFCF9C,#B96D40
#D7FDEC,#A9FBD7
#A9FBD7,#B2E4DB
#B2E4DB,#B0C6CE
#B0C6CE,#938BA1
#312635,#57443d
#57443d,#b29044
#b29044,#f1db9e
#1ea1a1,#b8d396
#d4b571,#cd894f
#cd894f,#be6342
#c85651,#c04948
#bd9860,#a3bdb0
#2fa297,#a3bdb0
#4f313c,#d98e95
#d0d2e0,#b6cee6
#b6cee6,#dbd3d6
#30342f,#596858
#596858,#7ea947
#7ea947,#cad871
#cad871,#f9f7bb
#6e717c,#7593ae
#7593ae,#d6d8db
#d6d8db,#a5a4a5
#a5a4a5,#828a74
#9f9d9f,#decdb6
#decdb6,#3f6c6b
#3f6c6b,#253847
#253847,#1d3b4c
#780000,#c1121f
#c1121f,#fdf0d5
#fdf0d5,#003049
#9b5de5,#f15bb5
#f15bb5,#fee440
#fee440,#00bbf9
#00bbf9,#00f5d4
#ffbe0b,#fb5607
#fb5607,#ff006e
#ff006e,#8338ec
#8338ec,#3a86ff
#0d1b2a,#1b263b
#1b263b,#415a77
#415a77,#778da9
#778da9,#e0e1dd
#f72585,#b5179e
#b5179e,#7209b7
#7209b7,#560bad
#560bad,#480ca8
#480ca8,#3a0ca3
#3a0ca3,#3f37c9
#3f37c9,#4361ee
#4361ee,#4895ef
#4895ef,#4cc9f0
#f72585,#7209b7
#b5179e,#560bad
#f72585,#560bad
#4361ee,#f72585
#ff595e,#ffca3a
#ffca3a,#8ac926
#8ac926,#1982c4
#1982c4,#6a4c93
#161a1d,#161a1d
#660708,#a4161a
#a4161a,#ba181b
#ba181b,#e5383b
#e5383b,#b1a7a6
#d3d3d3,#b1a7a6
#d3d3d3,#f5f3f4
#ffffff,#f5f3f4
#3772ff,#df2935
#080708,#3772ff
#080708,#df2935
#fdca40,#e6e8e6
#ff0000,#ff8700
#ff8700,#ffd300
#ffd300,#deff0a
#deff0a,#a1ff0a
#a1ff0a,#0aff99
#0aff99,#0aefff
#0aefff,#147df5
#147df5,#580aff
#580aff,#be0aff
#f72585,#7209b7
#7209b7,#3a0ca3
#3a0ca3,#4361ee
#4361ee,#4cc9f0
#99e2b4,#88d4ab
#88d4ab,#78c6a3
#78c6a3,#67b99a
#67b99a,#56ab91
#56ab91,#469d89
#469d89,#358f80
#358f80,#248277
#248277,#14746f
#14746f,#036666
#036666,#14746f
#006ba6,#0496ff
#0496ff,#ffbc42
#ffbc42,#d81159
#d81159,#8f2d56
#8f2d56,#006ba6
#ff0a54,#ff477e
#ff477e,#ff5c8a
#ff5c8a,#ff7096
#ff7096,#ff85a1
#ff85a1,#ff99ac
#ff99ac,#fbb1bd
#fbb1bd,#f9bec7
#f9bec7,#f7cad0
#f7cad0,#fae0e4
#fae0e4,#ff0a54
#ea698b,#d55d92
#d55d92,#c05299
#c05299,#ac46a1
#ac46a1,#973aa8
#973aa8,#822faf
#822faf,#6d23b6
#6d23b6,#6411ad
#6411ad,#571089
#571089,#47126b
#47126b,#ea698b
#797d62,#9b9b7a
#9b9b7a,#baa587
#baa587,#d9ae94
#d9ae94,#f1dca7
#ffcb69,#e8ac65
#e8ac65,#d08c60
#d08c60,#b58463
#997b66,#b58463
#997b66,#797d62
#ff7b00,#ff8800
#ff8800,#ff9500
#ff9500,#ffa200
#ffa200,#ffaa00
#ffaa00,#ffaa00
#ffaa00,#ffb700
#ffb700,#ffc300
#ffc300,#ffd000
#ffd000,#ffdd00
#ffdd00,#ffea00
#ffea00,#ff7b00
#edc4b3,#e6b8a2
#e6b8a2,#deab90
#deab90,#d69f7e
#d69f7e,#cd9777
#cd9777,#c38e70
#c38e70,#b07d62
#b07d62,#8a5a44
#8a5a44,#8a5a44
#8a5a44,#774936
#774936,#edc4b3
#641220,#6e1423
#6e1423,#85182a
#85182a,#a11d33
#a11d33,#a71e34
